Wk#,Partner,Client,SSL,Job Dte(dd/mm/yyyy),Choice Pro#,Invoice#,Inv Dte(dd/mm/yyyy),Category,Qty,Wght,Job Time(Military hh:mm),Origin/Destination,FOB$,CIF$,AWB#,Kilo/Mile (One Way),Hndlng Base Chg,Hndlng Exc Pcs Chg,Hndlng OCPU/WC,Transp Base Chg(G Tkt),Transp Exc Mls Chg(G Tkt),Fuel Chg,Aft. Hrs/weekend/holiday,Wait Time,Secrty/Tolls Chg, 3rd Party/Freight Transp.Chg(Z Tkt) , Freight Fuel Surchg ,Cust. Clr,Duty,Imp/ Exp Vat,GST,Consump Tax,IOR Chg,Broker Chg,Cust. Storg Chg,Permit/ License Chg,K1 Form Chg,Layout Fee,Wire Chg,Labor Chg,Labor # hrs,Total Charge,Comments
49,PAR52372,PPT EURO,FRA ,44168,ZAA4CTVM,2020-1125895,0,OCPU,1,,0.443055556,MAINZ-KOSTHEIM DE 55246 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,17.1764,
49,PAR52372,PPT EURO,FRA ,44169,ZAA4CVX6,2020-1125895,0,IRI ,1,,0.389583333,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,FRA ,44169,ZAA4CWSC,2020-1125895,0,OCPU,2,,0.488194444,OUDE MEER NL 1438 BC NL,0,0,0,     ,7.82,,,,,,,,0,5.15,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,,0,13.1245,
49,ZEN52353,ZENSAR  ,HAJ ,44168,ZAA4CTPA,2020-1125895,0,XFRG,1,,0.373611111,TILBURG NL 5048 CC NL,0,0,0,     ,3.91,,,,,,,,0,15.5,0.465,0,0,0,0,0,0,0,0,0,0,0,0,,0,19.875,
49,ELE52240,ELP     ,HAM ,44169,ZAA4CWE3,2020-1125895,0,STND,1,,0.474305556,D?SSELDORF  40479 DE 40479 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,17.1764,
49,ELE52240,ELP     ,HAM ,44169,ZAA4CWWY,2020-1125895,0,XFRG,1,,0.502777778,TILBURG NL 5048 CC NL,0,0,0,     ,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,INF52294,INFINERA,HAM ,44166,ZAA4CNT7,2020-1125895,0,GIRN,1,,0.127777778,HAMBURG DE 20457 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,ELE52240,ELP     ,LEJ ,44169,ZAA4CWVK,2020-1125895,0,XFRG,1,,0.498611111,TILBURG NL 5048 CC NL,0,0,0,     ,3.91,,,,,,,,0,15.5,0.465,0,0,0,0,0,0,0,0,0,0,0,0,,0,19.875,
49,INF52294,INFINERA,LEJ ,44168,G6596249,2020-1125895,0,PICK,1,,0.725694444,Leipzig DE 04299 DE,0,0,0,11,3.91,,,39.55,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,43.46,
49,INF52294,INFINERA,LEJ ,44169,G6596461,2020-1125895,0,PICK,1,,0.5125,Limbach-Oberfrohna DE 09212 DE,0,0,0,84,3.91,,,39.55,64.48,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,107.94,
